
--------------------------------------------------------
 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 
--------------------------------------------------------
 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 0 | 0 | 0 | 
--------------------------------------------------------
 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 
--------------------------------------------------------
 0 | 0 | 1 | 1 | 1 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 
--------------------------------------------------------
 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 1 | 1 | 1 | 0 | 1 | 0 | 
--------------------------------------------------------
 0 | 1 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 1 | 1 | 0 | 0 | 1 | 
--------------------------------------------------------
 0 | 1 | 0 | 1 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 
--------------------------------------------------------
 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 
--------------------------------------------------------
 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 1 | 0 | 
--------------------------------------------------------
 0 | 1 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 1 | 0 | 1 | 0 | 
--------------------------------------------------------
 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 
--------------------------------------------------------
 0 | 1 | 1 | 1 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 1 | 
--------------------------------------------------------
 0 | 1 | 0 | 0 | 0 | 1 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 1 | 
--------------------------------------------------------
 0 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 1 | 0 | 1 | 0 | 
Claves: Machote -> fila,columna down left si la clave es nula poner un -
0,8 1-9 -

0,9 1-9 -

0,10 7 -

1,6 1-9 -

1,7 - 17

1,13 1-9 -

2,2 1-9 -

2,3 1-9 -

2,4 1-9 -

2,5 - 1-9

2,9 18 1-9

2,12 14 1-9

3,1 - 24

3,5 3 -

3,6 6 -

3,8 1-9 1-9

3,10 13 -

3,11 - 1-9

4,1 16 -

4,4 - 3

4,7 - 15

4,11 - 1-9

4,13 1-9 -

5,0 - 1-9

5,3 1-9 -

5,4 - 6

5,7 1-9 -

5,8 - 12

5,12 - 1-9

6,0 - 1-9

6,2 - 1-9

6,6 1-9 1-9

6,9 - 1-9

6,11 1-9 -

6,13 1-9 -

7,4 1-9 -

7,5 - 1-9

7,8 1-9 -

7,10 - 1-9

7,12 24 1-9

8,1 1-9 -

8,3 - 1-9

8,7 1-9 1-9

8,9 1-9 -

8,10 1-9 -

8,11 - 1-9

9,0 - 1-9

9,4 1-9 -

9,6 1-9 1-9

9,8 - 16

9,11 - 1-9

9,13 24 -

10,1 4 -

10,2 1-9 -

10,3 1-9 1-9

10,5 - 1-9

10,8 15 -

10,9 1-9 -

10,11 - 17

11,0 - 15

11,5 9 -

11,7 1-9 17

11,12 - 1-9

12,0 - 1-9

12,2 1-9 -

12,4 - 1-9

12,6 - 10

12,10 1-9 -

12,12 1-9 1-9

13,1 - 1-9

13,4 - 1-9

13,7 - 1-9

13,9 - 1-9

13,11 - 1-9

